source,target,start,end
FcasFernando,delucca,2018-07-24 14:39:30,2018-07-24 14:39:30
GuiMirandSilva,delucca,2018-07-24 14:39:22,2018-07-24 14:39:22
Prof_Romando,delucca,2018-07-24 14:39:10,2018-07-24 14:39:10
Ahasuerus_I_,delucca,2018-07-24 14:37:19,2018-07-24 14:37:19
RicardoRangel_,delucca,2018-07-24 14:36:15,2018-07-24 14:36:15
nemojaime,delucca,2018-07-24 14:35:51,2018-07-24 14:35:51
taniaeginaramos,cyrusafa,2018-07-24 14:35:46,2018-07-24 14:35:46
mirafacon,delucca,2018-07-24 14:35:01,2018-07-24 14:35:01
Kadyonoro,delucca,2018-07-24 14:31:48,2018-07-24 14:31:48
emanueldasilva,cyrusafa,2018-07-24 14:31:36,2018-07-24 14:31:36
IsaakDinensen,delucca,2018-07-24 14:31:23,2018-07-24 14:31:23
democraciascfc,delucca,2018-07-24 14:31:04,2018-07-24 14:31:04
ThiagoArruda51,delucca,2018-07-24 14:28:39,2018-07-24 14:28:39
VictorRabay,delucca,2018-07-24 14:28:39,2018-07-24 14:28:39
rogerio_sinesio,delucca,2018-07-24 14:28:33,2018-07-24 14:28:33
Hugonardodias,cyrusafa,2018-07-24 14:26:36,2018-07-24 14:26:36
dalilamavi,delucca,2018-07-24 14:26:19,2018-07-24 14:26:19
d4df94d905c7418,delucca,2018-07-24 14:26:09,2018-07-24 14:26:09
leandrogvidal,LeomarCLima,2018-07-24 14:25:55,2018-07-24 14:25:55
BleyLacerda,delucca,2018-07-24 14:25:41,2018-07-24 14:25:41
Esouza9105,delucca,2018-07-24 14:25:17,2018-07-24 14:25:17
OrlandoMachado,cyrusafa,2018-07-24 14:25:14,2018-07-24 14:25:14
OrlandoMachado,delucca,2018-07-24 14:25:11,2018-07-24 14:25:11
OrlandoMachado,delucca,2018-07-24 14:25:09,2018-07-24 14:25:09
cefivp,delucca,2018-07-24 14:24:00,2018-07-24 14:24:00
msalmeida74,delucca,2018-07-24 14:22:53,2018-07-24 14:22:53
TinhoRizerio,delucca,2018-07-24 14:22:52,2018-07-24 14:22:52
ronaldoallyson,delucca,2018-07-24 14:22:36,2018-07-24 14:22:36
Jean_Smegal,cyrusafa,2018-07-24 14:21:46,2018-07-24 14:21:46
lucascarvalhook,delucca,2018-07-24 14:20:20,2018-07-24 14:20:20
